city_id,year,country_id,cp_active,lez_active,cp_impl_year,lez_impl_year,cp_announce_year,lez_announce_year,unemployment,education_share,public_transit_score,road_km_pc,tourism_intensity,logistics_activity,pm25,political_green,fiscal_capacity,electoral_competitiveness,ngo_environment_index,national_climate_pact,temp_anomaly,precip,heating_degree_days,renewable_electricity_share,fleet_diesel_share,fleet_petrol_share,fleet_electric_share,industry_manufacturing,industry_services,industry_logistics,industry_public,elevation,coastal,latitude_zone,museum_visitors_pc,library_count,streetlight_density,fountain_count,bench_count_pc,flagpole_count,sister_city_count,log_transport_co2,log_total_co2,log_population,log_pop_density,log_gdp_pc,log_area_km2,log_electricity_price,log_fuel_price
city_001,2008,country_09,0,0,2018,0,2017,0,6.69,37.87,51.5,6.4,1.44,116.1,24.02,0.322,0.3724,0.3635,40.6,0,-0.32,718,3105,29.82,0.3876,0.5824,0.03,0.2314,0.3968,0.2079,0.1639,251,0,2,1.77,2,77.6,9,11.18,5,6,7.239143183693986,9.159499606760807,13.172562072937074,8.10113214409467,10.388749184170845,5.071416766356115,4.703203926259457,0.4154154389613324
city_001,2009,country_09,0,0,2018,0,2017,0,6.87,36.78,52.1,5.87,1.58,120.7,24.47,0.332,0.3282,0.3378,41.8,0,-0.01,742,3031,30.9,0.4098,0.5597,0.0305,0.2338,0.3997,0.2041,0.1623,251,0,2,1.66,2,76.6,9,11.37,5,6,7.273716967312601,9.178921941697755,13.185050811336623,8.113636261577374,10.404293143019792,5.071416766356115,4.7535901911063645,0.4047982191204607
city_001,2010,country_09,0,0,2018,0,2017,0,6.95,35.15,51.8,5.47,1.86,119.6,24.01,0.3282,0.354,0.3844,42.3,0,-0.05,799,3072,31.51,0.4061,0.569,0.0249,0.233,0.4011,0.2064,0.1595,251,0,2,1.51,2,75.4,9,11.22,6,6,7.2767638500796865,9.181014542594355,13.199483665119306,8.128054085906847,10.422787170381499,5.071416766356115,4.798266815950004,0.4081282255276481
city_001,2011,country_09,0,0,2018,0,2017,0,6.69,34.2,52.1,5.25,1.86,111.9,23.42,0.3344,0.3694,0.5173,44.7,0,0.22,845,3034,32.05,0.4066,0.5714,0.022,0.2331,0.4019,0.2054,0.1596,251,0,2,1.66,2,77.2,9,11.17,6,7,7.230852756654873,9.14499085540403,13.208900642020447,8.137483545507784,10.420553663891573,5.071416766356115,4.832305758571839,0.41475515501525706
city_001,2012,country_09,0,0,2018,0,2017,0,6.66,34.09,54.0,5.07,2.12,118.2,24.81,0.3157,0.4154,0.5644,37.4,0,-0.31,811,3115,31.86,0.413,0.5639,0.023,0.2323,0.4012,0.2065,0.1601,251,0,2,1.5,2,77.0,9,11.46,7,7,7.206748142579785,9.14712364355227,13.220901070452571,8.149486188910675,10.427594586608032,5.071416766356115,4.782479200958502,0.41078426958576436
city_001,2013,country_09,0,0,2018,0,2017,0,6.12,34.54,55.0,4.97,2.2,117.1,22.78,0.3064,0.4202,0.599,42.9,0,0.27,750,3131,32.02,0.4236,0.553,0.0234,0.2309,0.4012,0.2056,0.1623,251,0,2,1.5,2,74.2,10,11.33,7,7,7.226063544975679,9.16269305450861,13.229600331449964,8.158172641550674,10.446509274518435,5.071416766356115,4.809742351716865,0.41607528722017995
city_001,2014,country_09,0,0,2018,0,2017,0,6.27,34.23,54.7,4.61,2.47,119.3,22.12,0.305,0.3832,0.5928,39.7,0,0.25,776,3147,31.11,0.4158,0.5584,0.0258,0.2316,0.4001,0.2036,0.1648,251,0,2,1.68,2,74.4,10,11.36,7,7,7.26220775506777,9.142939090380672,13.241919063209885,8.1704968664737,10.4664121460461,5.071416766356115,4.8338981155962015,0.42133845726445457
city_001,2015,country_09,0,0,2018,0,2017,0,6.57,33.46,54.5,4.66,2.67,110.0,20.89,0.2957,0.3395,0.6027,42.8,0,0.08,718,3115,32.08,0.4151,0.5561,0.0288,0.2334,0.3972,0.2032,0.1662,251,0,2,1.58,2,73.2,10,11.32,8,7,7.2694774641423825,9.159394385691243,13.252173354142375,8.180768953643062,10.462245830057421,5.071416766356115,4.852030263919617,0.42264993286226527
city_001,2016,country_09,0,0,2018,0,2017,0,6.45,32.75,53.8,4.48,2.46,117.1,17.51,0.2595,0.3866,0.523,49.5,0,-0.03,798,3063,33.83,0.3987,0.5741,0.0271,0.2348,0.3955,0.2011,0.1686,251,0,2,1.76,2,74.7,11,11.14,9,8,7.220227520241137,9.141858084404792,13.261210118501834,8.189799618728228,10.473760634945538,5.071416766356115,4.870606649492553,0.43178241642553783
city_001,2017,country_09,0,0,2018,0,2017,0,6.38,32.65,52.0,4.54,2.73,112.3,18.27,0.2476,0.3611,0.4815,51.9,0,0.1,741,3013,34.43,0.3994,0.5741,0.0266,0.2337,0.3962,0.1998,0.1703,251,0,2,1.86,2,73.9,11,10.9,9,8,7.248432946085861,9.135670703639153,13.276326611093229,8.20491783477419,10.493632545506374,5.071416766356115,4.875197323201151,0.45298462407614076
city_001,2018,country_09,1,0,2018,0,2017,0,6.63,32.0,52.0,4.59,2.77,116.2,17.34,0.2615,0.3647,0.4482,54.3,0,0.64,726,3054,35.84,0.3808,0.5844,0.0348,0.2336,0.3961,0.2013,0.1689,251,0,2,1.9,2,75.2,11,10.58,9,8,7.26619865831683,9.035510680940524,13.29025972265106,8.218841062504273,10.500646823684912,5.071416766356115,4.883559211528279,0.4631048875545789
city_001,2019,country_09,1,0,2018,0,2017,0,6.61,31.39,53.6,4.5,2.79,113.9,16.91,0.3067,0.3932,0.4448,67.5,0,0.13,754,3103,36.91,0.383,0.572,0.045,0.2346,0.3943,0.1992,0.1719,251,0,2,1.69,2,71.9,11,10.33,9,8,7.131538625583686,9.03905370620219,13.300188172235258,8.228764173403398,10.510504785715026,5.071416766356115,4.93662988078576,0.4762341789963717
city_001,2020,country_09,1,0,2018,0,2017,0,6.51,32.31,55.3,4.41,2.93,112.1,18.47,0.3017,0.3509,0.4232,60.9,0,0.15,746,3120,36.98,0.3885,0.5587,0.0528,0.2364,0.3941,0.1987,0.1708,251,0,2,1.7,2,72.3,11,10.17,9,8,7.0995319945468465,9.039860425744825,13.311120845883488,8.239699045351946,10.519429662187102,5.071416766356115,4.93662988078576,0.4799539600989037
city_001,2021,country_09,1,0,2018,0,2017,0,6.69,32.74,53.8,4.41,2.94,113.4,19.85,0.303,0.3327,0.4093,63.5,0,0.38,816,3115,37.22,0.3655,0.5735,0.061,0.2329,0.3943,0.2006,0.1722,251,0,2,1.71,2,73.0,12,10.07,9,8,7.0630481633881725,9.027378610294805,13.321727219305231,8.250306717154109,10.549097533638411,5.071416766356115,4.94306997460049,0.4916428043492167
city_001,2022,country_09,1,0,2018,0,2017,0,6.98,33.04,52.3,4.17,2.8,107.3,20.87,0.2767,0.3883,0.4309,68.6,0,0.58,825,3108,37.39,0.3623,0.5631,0.0746,0.2314,0.393,0.2001,0.1754,251,0,2,1.89,2,74.0,12,10.17,9,8,7.0841425962879,9.025708147644988,13.331234358431816,8.259820448551368,10.560074477784271,5.071416766356115,5.384036241950574,0.5152159720672835
city_001,2023,country_09,1,0,2018,0,2017,0,6.98,32.42,54.2,4.23,2.68,99.7,20.54,0.2997,0.3921,0.5542,68.9,0,0.49,763,3067,37.99,0.3474,0.5685,0.0841,0.2317,0.3906,0.2013,0.1763,251,0,2,1.82,2,75.6,12,10.18,9,8,7.046908340374713,9.003451494742468,13.342810496610793,8.271394949537221,10.583777431093518,5.071416766356115,5.363168338867653,0.5086232002107907
city_001,2024,country_09,1,0,2018,0,2017,0,6.86,33.28,53.3,4.19,2.62,87.7,19.4,0.3347,0.3629,0.5833,48.2,0,0.44,797,3037,38.47,0.3462,0.5599,0.0939,0.232,0.389,0.2024,0.1766,251,0,2,1.73,2,73.6,12,10.82,9,9,6.996955924440439,8.961558448481957,13.35195330610839,8.280533710048507,10.591772933679167,5.071416766356115,5.292802185859927,0.5193888544264785
city_002,2008,country_01,0,0,0,0,0,0,5.49,35.68,56.0,4.65,1.71,98.4,22.65,0.1368,0.7448,0.4557,59.6,0,-0.1,680,2938,27.09,0.3269,0.6431,0.03,0.1541,0.3143,0.2506,0.281,229,0,1,2.09,2,71.0,5,5.08,2,6,6.986751285208635,8.928282454274623,13.114559002340087,6.5597568705223015,10.425965029042565,6.554787739831727,4.768988271217486,0.37225297390205087
city_002,2009,country_01,0,0,0,0,0,0,6.08,34.98,55.2,4.64,2.01,104.3,21.45,0.1725,0.7198,0.4167,59.0,0,-0.24,638,2946,26.58,0.3222,0.6476,0.0302,0.1515,0.3186,0.2485,0.2814,229,0,1,2.09,2,69.4,5,5.21,2,7,6.9013347111792145,8.930335421532318,13.118377444116259,6.563573399290871,10.391331099910195,6.554787739831727,4.743191483885466,0.3770656335864664
city_002,2010,country_01,0,0,0,0,0,0,6.3,34.19,56.2,4.57,2.23,98.7,22.51,0.1867,0.6508,0.4555,61.9,0,0.34,687,2913,27.67,0.3188,0.6492,0.0321,0.1538,0.3161,0.2494,0.2808,229,0,1,2.26,2,70.5,5,5.35,2,7,6.848429812897322,8.908221251726632,13.12799349848654,6.573261084744552,10.41664046606121,6.554787739831727,4.751864565138895,0.3618614706260324
