city_id,year,policy_regime,is_cp_only,is_lez_only,is_synergy,propensity_score_cp_only,propensity_score_lez_only,propensity_score_synergy
city_001,2008,0,0,0,0,0.020671678811694415,0.01990780917568154,0.00033849842923097163
city_001,2009,0,0,0,0,0.0048226654198432655,0.004605732728557127,8.043409391930042e-05
city_001,2010,0,0,0,0,0.005153085809722503,0.005030403017691632,9.260605575036536e-05
city_001,2011,0,0,0,0,0.0062087273147148295,0.005832280583235942,0.00011666159154207327
city_001,2012,0,0,0,0,0.05427954738137153,0.03136433967147074,0.00022492117042806627
city_001,2013,0,0,0,0,0.04306955679720041,0.04764333932982566,0.000643097540273813
city_001,2014,0,0,0,0,0.13270234104816456,0.048797479795435826,0.0008961101428765826
city_001,2015,0,0,0,0,0.13285859092964594,0.15584009246938776,0.0027686700889925048
city_001,2016,0,0,0,0,0.13957102606910157,0.17122475151150848,0.00313048474845161
city_001,2017,0,0,0,0,0.14328046983443565,0.1828696640545738,0.004134967399996732
city_001,2018,1,1,0,0,0.16420059540965062,0.2053956533399841,0.004770913147820048
city_001,2019,1,1,0,0,0.22673986028153337,0.31009062534727183,0.006764970118032627
city_001,2020,1,1,0,0,0.24497683685461946,0.33170874112148696,0.007324524827764577
city_001,2021,1,1,0,0,0.27726477581955034,0.4574613361500987,0.00895598685246118
city_001,2022,1,1,0,0,0.3285489235776116,0.49666714765768716,0.020600590483229115
city_001,2023,1,1,0,0,0.33200753169133373,0.4745987110042789,0.019088200905482914
city_001,2024,1,1,0,0,0.30801164464968944,0.4567372325663636,0.01722062336386181
city_002,2008,0,0,0,0,0.00842569935886502,0.005436787492478167,0.00011485414234763183
city_002,2009,0,0,0,0,0.0010592951952915557,0.0007107607332009519,1.4902701496708143e-05
city_002,2010,0,0,0,0,0.0009400048195194263,0.0006225449830514836,1.2116602307982371e-05
city_002,2011,0,0,0,0,0.001153206195244224,0.0008441724107354335,1.8293680203309614e-05
city_002,2012,0,0,0,0,0.014569067508572743,0.006554955783835255,7.725029746892282e-05
